activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
ADAM9,NECTIN4,NOT,18,0.28153846561908724,0.4162916,0.42555648,0.20929015,0.36,0.90789473,skin of body,Langerhans cell,0.90789473,skin of body,Langerhans cell,0.20700145,-0.49160314
PSCA,ERBB2,NOT,18,0.02923076879233122,0.079335585,0.09980778,0.069578126,0.16198349,0.57464087,stomach,epithelial cell,0.57464087,stomach,epithelial cell,0.009757459,-0.4953053
NECTIN4,PSCA,NOT,18,0.09380952045321465,0.17099595,0.21334337,0.093313664,0.24249423,0.6681814,tongue,stratified squamous epithelial cell,0.6681814,tongue,stratified squamous epithelial cell,0.07768229,-0.49718547
ADAM9,MME,NOT,18,0.2544871687889099,0.4268335,0.42922834,0.20067054,0.37333333,0.9285714,pancreas,intermediate monocyte,0.9285714,pancreas,intermediate monocyte,0.22616297,-0.5017379
CDH1,TMEFF2,NOT,18,0.09166666269302369,0.45929486,0.45247963,0.42554817,0.5977012,0.96160203,bladder organ,bladder urothelial cell,0.96160203,bladder organ,bladder urothelial cell,0.03374669,-0.5023072
CD276,STEAP1,NOT,18,0.00499713122844696,0.019411772,0.024042524,0.044660423,0.082375474,0.5247525,uterus,myofibroblast cell,0.5247525,uterus,myofibroblast cell,-0.02524865,-0.5053407
CD276,FOLH1,NOT,18,0.013799546658992768,0.057831664,0.07516522,0.084862456,0.15134099,0.56435645,uterus,myofibroblast cell,0.56435645,uterus,myofibroblast cell,-0.027030792,-0.5065248
ERBB2,CDH1,NOT,18,0.029207128286361694,0.058624674,0.06701364,0.124727346,0.19399539,0.5703232,heart,regular atrial cardiac myocyte,0.5703232,heart,regular atrial cardiac myocyte,-0.06610267,-0.51169854
STEAP1,CDH1,NOT,18,0.07202796936035157,0.15079364,0.16258736,0.13185263,0.41777778,0.6628571,endocrine gland,mesothelial cell,0.6628571,endocrine gland,mesothelial cell,0.018941015,-0.5120635
CD276,STEAP4,NOT,18,0.0026768594980239877,0.03222934,0.04765777,0.058123678,0.10344827,0.5445545,uterus,myofibroblast cell,0.5445545,uterus,myofibroblast cell,-0.025894336,-0.5123251
